Rank,Player
1,Carlos Alcaraz
2,Jannik Sinner
3,Novak Djokovic
4,Alexander Zverev
5,Lorenzo Musetti
6,Alex de Minaur
7,Taylor Fritz
8,Felix Auger-Aliassime
9,Ben Shelton
10,Alexander Bublik
11,Daniil Medvedev
12,Casper Ruud
13,Jack Draper
14,Andrey Rublev
15,Alejandro Davidovich Fokina
16,Jakub Mensik
17,Holger Rune
18,Karen Khachanov
19,Francisco Cerundolo
20,Flavio Cobolli
21,Jiri Lehecka
22,Tommy Paul
23,Luciano Darderi
24,Learner Tien
25,Denis Shapovalov
26,Cameron Norrie
27,Valentin Vacherot
28,Tomas Machac
29,Tallon Griekspoor
30,Frances Tiafoe
31,Arthur Rinderknech
32,Brandon Nakashima
33,Stefanos Tsitsipas
34,Joao Fonseca
35,Sebastian Baez
36,Corentin Moutet
37,Jaume Munar
38,Ugo Humbert
39,Gabriel Diallo
40,Zizou Bergs
41,Alex Michelsen
42,Arthur Fils
43,Grigor Dimitrov
44,Daniel Altmaier
45,Nuno Borges
46,Fabian Marozsan
47,Jenson Brooksby
48,Camilo Ugo Carabelli
49,Alexandre Muller
50,Marton Fucsovics
51,Alexei Popyrin
52,Hubert Hurkacz
53,Sebastian Korda
54,Tomas Martin Etcheverry
55,Kamil Majchrzak
56,Valentin Royer
57,Giovanni Mpetshi Perricard
58,Matteo Berrettini
59,Marcos Giron
60,Lorenzo Sonego
61,Marin Cilic
62,Damir Dzumhur
63,Reilly Opelka
64,Francisco Comesana
65,Matteo Arnaldi
66,Terence Atmane
67,Botic van de Zandschulp
68,Ethan Quinn
69,Miomir Kecmanovic
70,Adrian Mannarino
71,Eliot Spizzirri
72,Raphael Collignon
73,Alejandro Tabilo
74,Mattia Bellucci
75,Mariano Navone
76,Arthur Cazaux
77,Pedro Martinez
78,Filip Misolic
79,Quentin Halys
80,Hamad Medjedovic
81,Adam Walton
82,Emilio Nava
83,Aleksandar Kovacevic
84,Jan-Lennard Struff
85,Juan Manuel Cerundolo
86,James Duckworth
87,Alexander Shevchenko
88,Jesper de Jong
89,Roberto Bautista Agut
90,Jacob Fearnley
91,Aleksandar Vukic
92,Cristian Garin
93,Yannick Hanfmann
94,Laslo Djere
95,Thiago Agustin Tirante
96,Dalibor Svrcina
97,Vit Kopriva
98,Ignacio Buse
99,Hugo Gaston
100,Pablo Carreno Busta
101,Carlos Taberner
102,Kyrian Jacquet
103,Rinky Hijikata
104,Adolfo Daniel Vallejo
105,Alexander Blockx
106,Luca Nardi
107,Patrick Kypson
108,Shintaro Mochizuki
109,Zachary Svajda
110,Jordan Thompson
111,Mackenzie McDonald
112,Tomas Barrios Vera
113,Stan Wawrinka
114,Tristan Schoolkate
115,David Goffin
116,Otto Virtanen
117,Francesco Maestrelli
118,Roman Andres Burruchaga
119,Christopher O'Connell
120,Elmer Moller
121,Dino Prizmic
122,Chun-Hsin Tseng
123,Dusan Lajovic
124,Rafael Jodar
125,Jan Choinski
126,Vilius Gaubas
127,Luca Van Assche
128,Benjamin Bonzi
129,Billy Harris
130,Borna Coric
131,Yoshihito Nishioka
132,Brandon Holt
133,Nicolai Budkov Kjaer
134,Marco Trungelliti
135,Sebastian Ofner
136,Coleman Wong
137,Nikoloz Basilashvili
138,Chris Rodesch
139,Yunchaokete Bu
140,Nicolas Jarry
141,Sho Shimabukuro
142,Moez Echargui
143,Andrea Pellegrino
144,Yibing Wu
145,Jaime Faria
146,Liam Draxl
147,Lukas Klein
148,Michael Zheng
149,Hugo Dellien
150,Titouan Droguet
151,Dane Sweeny
152,Arthur Fery
153,Giulio Zeppieri
154,Martin Landaluce
155,Francesco Passaro
156,Harold Mayot
157,Henrique Rocha
158,Mark Lajal
159,Elias Ymer
160,Martin Damm
161,Colton Smith
162,Guy Den Ouden
163,Matteo Gigante
164,Luka Mikrut
165,Gael Monfils
166,Yosuke Watanuki
167,Daniil Glinka
168,Arthur Gea
169,Pierre-Hugues Herbert
170,Jurij Rodionov
171,Leandro Riedi
172,Juan Pablo Ficovich
173,Jack Pinnington Jones
174,Ugo Blanchet
175,Roberto Carballes Baena
176,Zsombor Piros
177,Nicolas Mejia
178,Stefano Travaglia
179,Jason Kubler
180,Alex Barrena
181,Zdenek Kolar
182,Vitaliy Sachko
183,Daniel Merida
184,Rei Sakamoto
185,Lloyd Harris
186,Jay Clarke
187,Roman Safiullin
188,Alex Bolt
189,Hugo Grenier
190,Timofey Skatov
191,Daniel Elahi Galan
192,Jerome Kym
193,Daniel Evans
194,Bernard Tomic
195,Nishesh Basavareddy
196,Justin Engel
197,Federico Agustin Gomez
198,Thiago Seyboth Wild
199,August Holmgren
200,Alex Molcan
