Rank,Player
1,Aryna Sabalenka
2,Iga Swiatek
3,Elena Rybakina
4,Amanda Anisimova
5,Coco Gauff
6,Jessica Pegula
7,Mirra Andreeva
8,Jasmine Paolini
9,Belinda Bencic
10,Elina Svitolina
11,Ekaterina Alexandrova
12,Linda Noskova
13,Victoria Mboko
14,Naomi Osaka
15,Madison Keys
16,Clara Tauson
17,Emma Navarro
18,Liudmila Samsonova
19,Karolina Muchova
20,Iva Jovic
21,Diana Shnaider
22,Elise Mertens
23,Marta Kostyuk
24,Jelena Ostapenko
25,Leylah Fernandez
26,Qinwen Zheng
27,Anna Kalinskaya
28,Sofia Kenin
29,Maya Joint
30,Emma Raducanu
31,Marketa Vondrousova
32,Mccartney Kessler
33,Xin Yu Wang
34,Lois Boisson
35,Jaqueline Cristian
36,Sorana Cirstea
37,Marie Bouzkova
38,Veronika Kudermetova
39,Magda Linette
40,Katerina Siniakova
41,Ann Li
42,Jessica Bouzas Maneiro
43,Dayana Yastremska
44,Tereza Valentova
45,Alexandra Eala
46,Emiliana Arango
47,Janice Tjen
48,Laura Siegemund
49,Maria Sakkari
50,Peyton Stearns
51,Elisabetta Cocciaretto
52,Barbora Krejcikova
53,Elsa Jacquemot
54,Tatjana Maria
55,Ashlyn Krueger
56,Hailey Baptiste
57,Cristina Bucsa
58,Anastasia Potapova
59,Eva Lys
60,Magdalena Frech
61,Sonay Kartal
62,Daria Kasatkina
63,Solana Sierra
64,Anna Bondar
65,Paula Badosa
66,Francesca Jones
67,Antonia Ruzic
68,Beatriz Haddad Maia
69,Petra Marcinko
70,Yulia Putintseva
71,Caty Mcnally
72,Elena Gabriela Ruse
73,Varvara Gracheva
74,Ajla Tomljanovic
75,Anna Blinkova
76,Oksana Selekhmeteva
77,Danielle Collins
78,Julia Grabher
79,Zeynep Sonmez
80,Camila Osorio
81,Rebecca Sramkova
82,Shuai Zhang
83,Ella Seidel
84,Kimberly Birrell
85,Alycia Parks
86,Lulu Sun
87,Moyuka Uchijima
88,Olga Danilovic
89,Viktorija Golubic
90,Dalma Galfi
91,Oleksandra Oliynykova
92,Renata Zarazua
93,Kamilla Rakhimova
94,Simona Waltert
95,Donna Vekic
96,Katie Volynets
97,Kaja Juvan
98,Panna Udvardy
99,Darja Semenistaja
100,Anastasia Pavlyuchenkova
101,Sara Bejlek
102,Yuliia Starodubtseva
103,Veronika Erjavec
104,Sinja Kraus
105,Suzan Lamens
106,Mayar Sherif
107,Anastasia Zakharova
108,Nikola Bartunkova
109,Aliaksandra Sasnovich
110,Lucia Bronzetti
111,Taylor Townsend
112,Victoria Jimenez Kasintseva
113,Maddison Inglis
114,Rebeka Masarova
115,Leolia Jeanjean
116,Tiantsoa Sarah Rakotomanga Rajaonah
117,Caroline Dolehide
118,Talia Gibson
119,Diane Parry
120,Katie Boulter
121,Linda Fruhvirtova
122,Joanna Garland
123,Marina Stakusic
124,Tamara Korpatsch
125,Greet Minnen
126,Priscilla Hon
127,Ons Jabeur
128,Lilli Tagger
129,Lanlana Tararudee
130,Yue Yuan
131,Linda Klimovicova
132,Himeno Sakatsume
133,Arantxa Rus
134,Kaitlin Quevedo
135,Hanne Vandewinkel
136,Katarzyna Kawa
137,Darja Vidmanova
138,Lola Radivojevic
139,Polina Kudermetova
140,Lucrezia Stefanini
141,Sofia Costoulas
142,Jil Teichmann
143,Viktoriya Tomova
144,Daria Snigur
145,Leyre Romero Gormaz
146,Maja Chwalinska
147,Irina Camelia Begu
148,Taylah Preston
149,Victoria Azarenka
150,Varvara Lepchenko
151,Dominika Salkova
152,Lin Zhu
153,Tamara Zidansek
154,Elvina Kalieva
155,Maria Timofeeva
156,Maria Lourdes Carle
157,Alina Korneeva
158,Iryna Shymanovich
159,Despina Papamichail
160,Polina Iatcenko
161,Whitney Osuigwe
162,Bianca Andreescu
163,Emerson Jones
164,Alina Charaeva
165,Jessika Ponchet
166,Nuria Brancaccio
167,Anhelina Kalinina
168,Aoi Ito
169,Elina Avanesyan
170,Ekaterine Gorgodze
171,Teodora Kostovic
172,Anouk Koevermans
173,Carol Young Suh Lee
174,Elizabeth Mandlik
175,Louisa Chirico
176,Guiomar Maristany Zuleta De Reales
177,Astra Sharma
178,Anastasia Gasanova
179,Anca Alexia Todoni
180,Bernarda Pera
181,Harriet Dart
182,Hanyu Guo
183,Carole Monnet
184,Olivia Gadecki
185,Anastasija Sevastova
186,Anna Lena Friedsam
187,Julia Riera
188,Yeon Woo Ku
189,Elena Pridankina
190,Gabriela Andrea Knutson
191,Lisa Pigato
192,Carson Branstine
193,Mary Stoiana
194,Lina Gjorcheska
195,Ana Sofia Sanchez
196,Alice Rame
197,Ena Shibahara
198,Cadence Brace
199,Viktoria Hruncakova
200,Kayla Cross
